Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNPHARMA,EQ,01-03-2019,445.15,447.9,451,445.05,447.1,447.35,448.42,5608805,2515108045,62891,1916646,34.17
SUNPHARMA,EQ,05-03-2019,447.35,447.85,456.9,445.35,455.7,455.9,452.62,5251255,2376804042,113346,1515301,28.86
SUNPHARMA,EQ,06-03-2019,455.9,457,469.35,446.95,455.8,460.55,459.49,13004184,5975283331,162356,2710115,20.84
SUNPHARMA,EQ,07-03-2019,460.55,459.5,463,448.8,450.65,450.9,455.16,10701581,4870886814,114160,4613078,43.11
SUNPHARMA,EQ,08-03-2019,450.9,449.5,457.9,447.3,454.9,454.95,454.58,5040326,2291243909,78653,1085948,21.55
SUNPHARMA,EQ,11-03-2019,454.95,456,461.45,454,459,459.45,458.91,4628360,2124013853,69324,1683983,36.38
SUNPHARMA,EQ,12-03-2019,459.45,463,471.65,462,471,470.3,468,8660320,4053041141,113877,3230870,37.31
SUNPHARMA,EQ,13-03-2019,470.3,473,475,452.5,455.6,456.5,466.14,7156428,3335907240,87623,1990251,27.81
SUNPHARMA,EQ,14-03-2019,456.5,456.9,468.5,456,466.4,466.15,464.08,8039525,3730984725,87995,2382238,29.63
SUNPHARMA,EQ,15-03-2019,466.15,466.2,469.95,462.3,465.8,464.35,465.53,5877969,2736386347,69853,2376231,40.43
SUNPHARMA,EQ,18-03-2019,464.35,466,469.9,458.65,465.65,465.65,465.29,4382489,2039148926,66374,910008,20.76
SUNPHARMA,EQ,19-03-2019,465.65,467.5,475.25,466.65,469.9,468.95,471.75,6725926,3172947149,89618,1648141,24.5
SUNPHARMA,EQ,20-03-2019,468.95,470.75,476.8,466,475.4,474.75,472.39,4235163,2000646843,62850,1187822,28.05
SUNPHARMA,EQ,22-03-2019,474.75,475.8,479.7,469.35,472.2,473.25,474.6,6125288,2907068959,102987,2382913,38.9
SUNPHARMA,EQ,25-03-2019,473.25,468.5,469.45,461.2,465,464.65,464.56,4043446,1878441560,51359,1595795,39.47
SUNPHARMA,EQ,26-03-2019,464.65,467,471.5,462.1,470.15,469.8,466.5,3843580,1793047964,66524,1599819,41.62
SUNPHARMA,EQ,27-03-2019,469.8,471.8,477.35,459.75,464.85,464.85,468.53,6016947,2819092485,95994,2483101,41.27
SUNPHARMA,EQ,28-03-2019,464.85,465,479.8,465,475.45,475.45,475.1,10590187,5031391589,101302,5152125,48.65
SUNPHARMA,EQ,29-03-2019,475.45,475.55,482.95,472.3,477.8,478.85,478.49,5625338,2691665414,78822,1749847,31.11
SUNPHARMA,EQ,01-04-2019,478.85,480.95,484.25,475.6,480,478.85,479.86,3583589,1719604750,64436,795264,22.19
SUNPHARMA,EQ,02-04-2019,478.85,482,483.9,467.1,470.45,469.7,475.53,4034802,1918686012,59391,1003720,24.88
SUNPHARMA,EQ,03-04-2019,469.7,471,473.9,459.15,461.1,462,466.31,4715586,2198939542,64306,1760917,37.34
SUNPHARMA,EQ,04-04-2019,462,463,469.9,459.5,465.5,465.6,465.2,4151406,1931221880,66863,1499237,36.11
SUNPHARMA,EQ,05-04-2019,465.6,467.1,470,461.5,463.7,463.15,464.94,2205935,1025634320,35835,541758,24.56
SUNPHARMA,EQ,08-04-2019,463.15,464.6,467.2,460.45,461.1,462.45,462.93,2274003,1052705120,44773,622518,27.38
SUNPHARMA,EQ,09-04-2019,462.45,457.25,472.4,454.8,468.8,470.95,465.07,4345243,2020863666,78977,1003714,23.1
SUNPHARMA,EQ,10-04-2019,470.95,468,479.9,467.35,472.5,471.95,474.29,3887388,1843751002,54907,1074777,27.65
SUNPHARMA,EQ,11-04-2019,471.95,465.25,470.9,461.6,465.3,465.55,466.35,4429596,2065721975,65526,1089228,24.59
SUNPHARMA,EQ,12-04-2019,465.55,467,468.5,462.3,464,465.05,465.3,3332732,1550733503,58200,1397580,41.93
SUNPHARMA,EQ,15-04-2019,465.05,465.3,466.8,457.5,458.65,458.65,459.93,3770497,1734177771,60985,1327519,35.21
SUNPHARMA,EQ,16-04-2019,458.65,459.45,464.5,458.65,463,462.55,461.29,2825105,1303189649,83382,904125,32
SUNPHARMA,EQ,18-04-2019,462.55,463.9,466,456.7,463.2,463.2,461.84,3567327,1647534754,63883,1426443,39.99
SUNPHARMA,EQ,22-04-2019,463.2,464,465.05,452.4,453.5,454.5,457.97,1828896,837571686.2,34911,451658,24.7
SUNPHARMA,EQ,23-04-2019,454.5,453,472.4,453,468,468.55,465.81,5292341,2465223127,92790,1264174,23.89
SUNPHARMA,EQ,24-04-2019,468.55,469.1,470,462.5,469.85,469.35,466.96,2821522,1317548172,48682,609788,21.61
SUNPHARMA,EQ,25-04-2019,469.35,465.25,474.6,459.5,463.25,461,465.36,5244937,2440765420,64135,2340587,44.63
SUNPHARMA,EQ,26-04-2019,461,464,469.4,462.6,463.5,464.1,465.22,2903286,1350675704,44737,904176,31.14
SUNPHARMA,EQ,30-04-2019,464.1,464,464,446,455.6,457.65,454.4,6586352,2992829978,83515,3284444,49.87
SUNPHARMA,EQ,02-05-2019,457.65,456.95,461.7,450.5,452.5,452.2,456.18,3732218,1702555564,76903,1384328,37.09
SUNPHARMA,EQ,03-05-2019,452.2,455,456.2,448.85,452.45,453.25,452.25,2585548,1169317217,54237,946577,36.61
SUNPHARMA,EQ,06-05-2019,453.25,448,455.9,446.45,452.55,453.15,452.73,3104707,1405587292,54759,998788,32.17
SUNPHARMA,EQ,07-05-2019,453.15,456,456,446.45,447.25,448.2,451.6,4189396,1891915824,60790,2021138,48.24
SUNPHARMA,EQ,08-05-2019,448.2,447.75,449.85,433.45,436,439.15,440.9,4885249,2153903821,74176,1930369,39.51
SUNPHARMA,EQ,09-05-2019,439.15,436,442.7,431.55,439.25,439.35,437.6,3550114,1553525485,57904,1063280,29.95
SUNPHARMA,EQ,10-05-2019,439.35,437,442.65,434.45,437.65,437.75,438.38,3482485,1526655374,62727,1313912,37.73
SUNPHARMA,EQ,13-05-2019,437.75,437.75,437.75,344.55,414,398.1,401.07,24079258,9657555365,260840,6844309,28.42
SUNPHARMA,EQ,14-05-2019,398.1,406.05,424.5,403.25,420.5,419.45,413.29,18797497,7768770751,222948,3452591,18.37
SUNPHARMA,EQ,15-05-2019,419.45,420,424.5,407.1,411,409.75,415.66,7581005,3151082906,101795,1383582,18.25
SUNPHARMA,EQ,16-05-2019,409.75,411.5,419.6,379.05,412.15,412.4,399.89,25156049,10059672073,279863,3333881,13.25
SUNPHARMA,EQ,17-05-2019,412.4,409.05,416,401.7,409.6,409.1,407.3,7747301,3155512081,131130,1143637,14.76
SUNPHARMA,EQ,20-05-2019,409.1,420,429,410.2,414.2,413.5,414.93,3809738,1580786621,53992,622567,16.34
SUNPHARMA,EQ,21-05-2019,413.5,414.2,423.75,405.65,408.6,408.85,414.89,6228488,2584147179,100521,1599506,25.68
SUNPHARMA,EQ,22-05-2019,408.85,409,423.55,408,423,421.2,419.02,7277731,3049539862,124840,1650730,22.68
SUNPHARMA,EQ,23-05-2019,421.2,425,427,410.2,413.45,412.95,419,5906044,2474659236,97297,1891606,32.03
SUNPHARMA,EQ,24-05-2019,412.95,416.7,418,411.65,416.4,415.75,415.02,3010407,1249377998,56560,818140,27.18
SUNPHARMA,EQ,27-05-2019,415.75,416.95,421.5,411.55,414.5,414.85,415.95,3886561,1616614718,52845,665627,17.13
SUNPHARMA,EQ,28-05-2019,414.85,417,420.5,410.2,414.5,412.75,414.91,7987111,3313934121,110149,3116936,39.02
SUNPHARMA,EQ,29-05-2019,412.75,418.05,427.8,403.55,422.05,423.8,417.51,28086149,11726190001,287806,2990991,10.65
SUNPHARMA,EQ,30-05-2019,423.8,421.25,422.7,411.2,412.9,412.75,415.4,9082367,3772814179,101191,2554421,28.13
SUNPHARMA,EQ,31-05-2019,412.75,414.8,417.1,406.05,410.65,409.85,411.34,5643400,2321383893,75853,1785566,31.64
SUNPHARMA,EQ,03-06-2019,409.85,411,418.6,407.5,417,416.8,414.73,4611475,1912528554,56279,1431843,31.05
SUNPHARMA,EQ,04-06-2019,416.8,414.8,417.9,409.1,411.25,411.15,413.26,3279047,1355109727,66951,862387,26.3
SUNPHARMA,EQ,06-06-2019,411.15,411.25,413.5,402.6,404,404.15,407.13,3483633,1418295298,50842,912333,26.19
SUNPHARMA,EQ,07-06-2019,404.15,405,406.9,395.1,399,399.25,399.95,4668474,1867168032,63580,1098599,23.53
SUNPHARMA,EQ,10-06-2019,399.25,402,405.8,394.05,403.55,402.05,400.47,4966075,1988774432,86051,1463902,29.48
SUNPHARMA,EQ,11-06-2019,402.05,396,397.8,384,391.5,389.95,388.83,13833555,5378967851,211702,4581638,33.12
SUNPHARMA,EQ,12-06-2019,389.95,391,397,385.25,391.5,391.4,391.74,7739283,3031784679,89095,2094731,27.07
SUNPHARMA,EQ,13-06-2019,391.4,391,393.75,385.4,389.8,389.75,388.85,4090663,1590671215,68453,1421106,34.74
SUNPHARMA,EQ,14-06-2019,389.75,390,394.85,376.55,391.7,392.55,386.9,9786375,3786392032,100560,2328313,23.79
SUNPHARMA,EQ,17-06-2019,392.55,391.7,394.5,379.85,381.4,382.9,386.91,6558933,2537710887,82184,2035485,30.39
SUNPHARMA,EQ,18-06-2019,382.9,381.4,385.6,374.3,377.05,378.45,380.83,3761637,1432535570,75409,1051284,27.05
SUNPHARMA,EQ,19-06-2019,378.45,380,382.1,368.15,375.4,375.2,374.86,7197444,2698056827,94873,2760584,38.36
SUNPHARMA,EQ,20-06-2019,375.2,368,392.2,368,389,390.5,383.66,8109029,3111122642,108867,2045469,25.22
SUNPHARMA,EQ,21-06-2019,390.5,388.9,391.7,381.05,384,382.8,384.06,5389874,2070054516,80571,2321502,43.07
SUNPHARMA,EQ,24-06-2019,382.8,381.8,385.4,377.5,383.2,383.45,381.49,3702836,1412577373,85717,1395118,37.68
SUNPHARMA,EQ,25-06-2019,383.45,382.5,387.5,377.55,384.4,385.75,382.34,4480306,1712982569,70562,1508507,33.67
SUNPHARMA,EQ,26-06-2019,385.75,385,403.55,384.65,398.7,399.45,397.52,9571797,3804954321,115235,1393916,14.56
SUNPHARMA,EQ,27-06-2019,399.45,399.05,405.4,394.75,402.9,402.8,401.35,7651785,3071082103,100219,1995564,26.08
SUNPHARMA,EQ,28-06-2019,402.8,404.9,409.8,398.15,401.35,400.95,404.22,7283442,2944139197,87373,1069347,14.68
SUNPHARMA,EQ,01-07-2019,400.95,402,406.5,401.5,405.4,405.35,404.33,2254468,911553703.6,36905,427029,18.94
SUNPHARMA,EQ,02-07-2019,405.35,404.85,407,391.15,394.7,395.55,395.77,5539613,2192436816,77413,1294613,23.37
SUNPHARMA,EQ,03-07-2019,395.55,397.4,399.15,393.1,395.5,395.7,395.74,2683086,1061798271,50056,351644,13.11
SUNPHARMA,EQ,04-07-2019,395.7,396.7,398.05,391.2,391.5,392.1,393.17,3308295,1300713459,51761,1326124,40.08
SUNPHARMA,EQ,05-07-2019,392.1,393.5,394.4,373.4,375.25,375.25,383.11,5446432,2086556488,95652,1988727,36.51
SUNPHARMA,EQ,08-07-2019,375.25,375,380.9,365.4,368,366.8,370.54,7355520,2725488779,93616,2565900,34.88
SUNPHARMA,EQ,09-07-2019,366.8,367,395,367,387,386.4,385.21,15428006,5943056869,173961,4024467,26.09
SUNPHARMA,EQ,10-07-2019,386.4,386,397.35,380.6,390.45,392.2,389.98,10202064,3978605224,128191,1919408,18.81
SUNPHARMA,EQ,11-07-2019,392.2,394.9,400.35,390.3,398.4,398.15,395.37,7759443,3067850283,92372,2381355,30.69
SUNPHARMA,EQ,12-07-2019,398.15,400.5,411.5,397.35,407.55,407.7,404.98,13549864,5487383629,171556,4393593,32.43
SUNPHARMA,EQ,15-07-2019,407.7,416.25,427.7,413.65,420.4,422.95,421.48,18269604,7700236193,211270,5534710,30.29
SUNPHARMA,EQ,16-07-2019,422.95,420.8,435,418.65,434.05,433.3,427.76,8630766,3691901522,112273,2349868,27.23
SUNPHARMA,EQ,17-07-2019,433.3,433,436.3,428.1,429.65,430.05,432.41,6500759,2810978546,88298,1729220,26.6
SUNPHARMA,EQ,18-07-2019,430.05,430.05,432.9,424.65,425.45,426.2,428.05,4711395,2016716799,100610,803439,17.05
SUNPHARMA,EQ,19-07-2019,426.2,427,429.4,416.05,421.15,421.35,421.72,5104476,2152645630,75455,1214219,23.79
SUNPHARMA,EQ,22-07-2019,421.35,419.1,443.3,419,430,430.25,433.32,10420113,4515273591,141910,2763432,26.52
SUNPHARMA,EQ,23-07-2019,430.25,431,435.5,427.1,428.65,430.25,431.1,6698368,2887667934,91803,2617725,39.08
SUNPHARMA,EQ,24-07-2019,430.25,430,432.45,421.7,425.45,425.55,425.76,5319256,2264721160,66147,2287760,43.01
SUNPHARMA,EQ,25-07-2019,425.55,425.8,439.7,425.55,437.25,437.15,434.29,11412685,4956371226,132935,6594947,57.79
SUNPHARMA,EQ,26-07-2019,437.15,437,442.2,433.1,440.3,439.95,438.54,5094438,2234108414,66486,1560784,30.64
SUNPHARMA,EQ,29-07-2019,439.95,440,441.7,429.2,431,431.05,432.05,4448863,1922120623,56012,1899330,42.69
SUNPHARMA,EQ,30-07-2019,431.05,430,441.3,405,410.35,410.35,424.73,9461831,4018742056,122333,3051132,32.25
SUNPHARMA,EQ,31-07-2019,410.35,410,428.8,409,426.05,426.75,421.9,7746831,3268396838,118535,2408998,31.1
SUNPHARMA,EQ,01-08-2019,426.75,424.8,427.75,418,424.95,425.1,422.29,3635110,1535068103,85351,1075111,29.58
SUNPHARMA,EQ,02-08-2019,425.1,422.9,426.5,417.35,420,420.65,421.96,3490912,1473027769,64622,730006,20.91
SUNPHARMA,EQ,05-08-2019,420.65,417.65,423.75,411.05,416.75,417.15,417.68,4784904,1998544356,82085,1699933,35.53
SUNPHARMA,EQ,06-08-2019,417.15,416,422.45,414.5,417.8,418.2,418.42,3204070,1340638399,83821,1124613,35.1
SUNPHARMA,EQ,07-08-2019,418.2,421,429,418.1,419.75,421.05,423.68,5431353,2301164509,88870,1946135,35.83
SUNPHARMA,EQ,08-08-2019,421.05,424,428.2,418.15,427.05,426.45,422.86,3157083,1335015313,55223,634205,20.09
SUNPHARMA,EQ,09-08-2019,426.45,428,430.35,418.45,422.5,422,424.17,3434604,1456845592,52089,700448,20.39
SUNPHARMA,EQ,13-08-2019,422,421.5,444.5,420.75,438.35,439.25,434.82,13211835,5744724362,186160,3951212,29.91
SUNPHARMA,EQ,14-08-2019,439.25,440,441,408.05,416.5,417.15,418.02,16173302,6760844325,207289,4138401,25.59
SUNPHARMA,EQ,16-08-2019,417.15,419.4,421.4,410,413.4,414.7,414.43,6536156,2708786522,111799,1863520,28.51
SUNPHARMA,EQ,19-08-2019,414.7,424.75,434.2,421,426,426,427.06,11584821,4947424997,159019,2082843,17.98
SUNPHARMA,EQ,20-08-2019,426,426,426.5,417.3,420.8,420.9,421.6,5151625,2171945238,72097,1022145,19.84
SUNPHARMA,EQ,21-08-2019,420.9,421,425.85,413.6,415.65,417,418.96,5120294,2145184872,74961,1008597,19.7
SUNPHARMA,EQ,22-08-2019,417,416.7,420.75,408.5,413,414.55,415.12,5299316,2199829454,94123,1308426,24.69
SUNPHARMA,EQ,23-08-2019,414.55,415,429.95,408.9,427.9,427.8,420.84,5479802,2306093153,85076,1015295,18.53
SUNPHARMA,EQ,26-08-2019,427.8,428,429.8,415.1,418.95,419.35,419.97,6258106,2628224042,74984,2281719,36.46
SUNPHARMA,EQ,27-08-2019,419.35,424.05,425.45,415.1,416.75,416.75,418.6,6738413,2820719750,105883,2725453,40.45
SUNPHARMA,EQ,28-08-2019,416.75,416.9,421.7,411.5,412.7,413.1,416.35,3441725,1432978408,52277,506965,14.73
SUNPHARMA,EQ,29-08-2019,413.1,428,438.6,421.1,434,434.65,430.25,19967263,8590893305,222713,3351923,16.79
